Date,Open,High,Low,Close,Volume,Symbol,7ma,14ma,21ma,7macd,14macd,7rsi,14rsi,21rsi,7atr,14atr,21atr,7upper,7lower,14upper,14lower,21upper,21lower,7rsv,14rsv,21rsv
2015-01-02,27.85,27.86,26.84,27.33,212818496,AAPL,27.33,27.33,27.33,0.0,0.0,,,,,,,,,,,,,,,
2015-01-05,27.07,27.16,26.35,26.56,257141968,AAPL,26.889999999999997,26.917499999999997,26.926666666666666,0.05333333333333152,0.019642857142858308,,,,,,,,,,,,,,,
2015-01-06,26.64,26.86,26.16,26.57,263188464,AAPL,26.75162162162162,26.78475382003396,26.796283987915405,0.07341847341847162,0.02920039459440087,,,,,,,,,,,,,,,
2015-01-07,26.8,27.05,26.67,26.94,160423744,AAPL,26.820514285714285,26.832248005801308,26.837500538677006,0.05087764943877078,0.025463744122417364,,,,,,,,,,,,,,,
2015-01-08,27.31,28.04,27.18,27.97,237458192,AAPL,27.197298335467348,27.129085760225934,27.10909190676647,-0.05279102700795117,-0.004192630041699337,,,,,,,,,,,,,,,
2015-01-09,28.17,28.31,27.55,28.0,214798112,AAPL,27.44142263142263,27.330599788293885,27.295054700794875,-0.14324941325083035,-0.037089459837822615,,,,,,,,,,,,,,,
2015-01-12,28.15,28.16,27.2,27.31,198603168,AAPL,27.403505670212017,27.326258976133552,27.297845470477967,-0.14807784954800857,-0.051538768604393784,,,,0.7842857142857136,,,28.430182058902474,26.04981794109753,,,,,52.08333333333329,,
2015-01-13,27.86,28.2,27.23,27.55,268367712,AAPL,27.444203645612546,27.370019425777755,27.34081352326278,-0.1449976819487551,-0.06168012987711452,763.636363636357,,,0.7771428571428564,,,28.484107620555122,26.058749522302023,,,,,68.75000000000007,,
2015-01-14,27.26,27.62,27.12,27.45,195826352,AAPL,27.445770371317447,27.384745708667324,27.35804915842667,-0.12885955183024447,-0.06647489859363294,188.76404494382047,,,0.7328571428571422,,,28.437316092187313,26.359826764955553,,,,,61.53846153846148,,
2015-01-15,27.5,27.52,26.66,26.7,240055984,AAPL,27.248202009647034,27.26476206524903,27.260690549208256,-0.0497089912874145,-0.05263863662553162,1284.615384615396,,,0.7557142857142851,,,28.389268657350097,26.445017056935615,,,,,0.0,,
2015-01-16,26.76,26.89,26.3,26.5,314053376,AAPL,27.05290302818635,27.136145454400495,27.15421936096777,0.04681340937010647,-0.026746705934690765,-295.4545454545447,,,0.7857142857142853,,,28.50995909045259,26.198612338118835,,,,,0.0,,
2015-01-20,26.96,27.22,26.62,27.18,199599632,AAPL,27.08571668818508,27.143272506332213,27.15765904464938,0.07096583064433466,-0.010708184426945166,-120.25316455696253,,,0.7485714285714279,,,28.263023962401505,26.219833180455637,,,,,45.333333333333314,,
2015-01-21,27.24,27.77,27.07,27.39,194303584,AAPL,27.16363873067507,27.182232647394336,27.18739415074479,0.049623552801737074,-0.005266120096217201,-185.24590163934482,,,0.7399999999999994,,,27.953857027999685,26.35471440057174,,,,,84.76190476190476,,
2015-01-22,27.57,28.12,27.43,28.1,215185632,AAPL,27.40197572416603,27.323679127160133,27.30001487559441,-0.03959890563212069,-0.020168730126879315,232.91139240506294,,,0.701428571428571,0.7428571428571422,,28.344158133154256,26.19012758113146,28.34441745571965,26.16272540142321,,,100.0,100.0,
2015-01-23,28.07,28.44,27.88,28.25,185859312,AAPL,27.61685330124781,27.463536678080867,27.413558632223882,-0.1415751991947856,-0.047817405737181976,250.00000000000028,372.82608695652146,,0.6428571428571429,0.7099999999999996,,28.672501775127444,26.061783939158268,28.53379959071692,26.10477183785451,,,100.0,100.0,
2015-01-26,28.43,28.59,28.2,28.27,222459920,AAPL,27.78179310087183,27.583186298696468,27.513074488096276,-0.22416960583754855,-0.08059105445411525,215.85365853658527,201.75438596491233,,0.6271428571428572,0.6799999999999997,,28.960355140966225,26.008216287605197,28.670858887102824,26.211998255754317,,,100.0,100.0,
2015-01-27,28.11,28.12,27.26,27.29,382275008,AAPL,27.657913630261426,27.540332287381393,27.48779322631118,-0.19802879063233955,-0.09367724495277287,300.0000000000001,477.7777777777788,,0.6271428571428572,0.6914285714285712,,28.89549411265057,26.241648744492284,28.62135317594866,26.36436110976563,,,44.63276836158188,44.63276836158188,
2015-01-28,29.41,29.53,28.83,28.83,585908224,AAPL,27.952596559627278,27.726450009003276,27.63657101738763,-0.2661756788744408,-0.12576532321714448,142.06008583690993,243.91534391534424,,0.6428571428571433,0.7142857142857143,,29.14370758310715,26.65914955974999,28.91280380014993,26.34291048556436,,,100.0,100.0,
2015-01-29,29.08,29.8,28.89,29.73,337745728,AAPL,28.39883423872788,28.01245066404402,27.864082725335784,-0.41750330811647485,-0.18414685540664802,138.4313725490196,254.5454545454545,,0.6871428571428579,0.7178571428571429,,29.940860334784105,26.590568236644465,29.45847128383669,26.04867157330617,,,100.0,100.0,
2015-01-30,29.6,30.0,29.21,29.29,334981856,AAPL,28.6223344455702,28.19311622147139,28.016344278098288,-0.5175635932713635,-0.24380213053091448,174.7368421052633,344.961240310078,,0.7000000000000008,0.7200000000000001,,30.165177020818533,26.909108693467182,29.737212906640828,25.95421566478774,,,81.96721311475406,86.37770897832814,
